Modelo,R2_train,R2_test,MAE_train,MAE_test,RMSE_train,RMSE_test,Diferencia_R2
Ridge + características grado 2,0.4033426833704571,0.4028489885425338,19.105530055023504,19.137926537270218,24.34350287069925,24.443978844957773,0.0004936948279232745
Regresión múltiple,0.39908600141818407,0.39914575307856026,19.17298205122846,19.204798283661184,24.430184443500135,24.51965643589607,-5.975166037619495e-05
Ridge optimizado,0.399086001157105,0.3991456906933256,19.173000732472214,19.20481873652231,24.43018444880722,24.519657708804175,-5.968953622059736e-05
Lasso optimizado,0.39908599958517754,0.3991455730570105,19.17302924380119,19.20484633657245,24.430184480760612,24.519660109054946,-5.957347183294104e-05
Regresión simple,0.33649401577926874,0.33609502575371564,20.24467686399998,20.271411371104332,25.67101303879478,25.774056389356915,0.00039899002555310314
