,lectura,ciudadanas,ingles,comunicacion,razonamiento
lectura,1.0,0.6980025420233615,0.5818543160998231,0.2808105535066238,0.5800143991668656
ciudadanas,0.6980025420233615,1.0,0.5353021146202229,0.26163000696310496,0.5346791119780155
ingles,0.5818543160998231,0.5353021146202229,1.0,0.25752585421646673,0.5032333541195491
comunicacion,0.2808105535066238,0.26163000696310496,0.25752585421646673,1.0,0.23472807794229444
razonamiento,0.5800143991668656,0.5346791119780155,0.5032333541195491,0.23472807794229444,1.0
